GEO.display-label,HC01_VC56
Geography,Estimate; RACE - One race - Asian
"Baldwin County, Alabama",914
"Calhoun County, Alabama",1064
"Cullman County, Alabama",763
"DeKalb County, Alabama",74
"Elmore County, Alabama",N
"Etowah County, Alabama",858
"Houston County, Alabama",1054
"Jefferson County, Alabama",8366
"Lauderdale County, Alabama",720
"Lee County, Alabama",6648
"Limestone County, Alabama",364
"Madison County, Alabama",8383
"Marshall County, Alabama",746
"Mobile County, Alabama",8269
"Montgomery County, Alabama",5753
"Morgan County, Alabama",1076
"St. Clair County, Alabama",N
"Shelby County, Alabama",4535
"Talladega County, Alabama",548
"Tuscaloosa County, Alabama",3413
"Walker County, Alabama",N
"Anchorage Municipality, Alaska",27142
"Fairbanks North Star Borough, Alaska",3875
"Matanuska-Susitna Borough, Alaska",1083
"Apache County, Arizona",106
"Cochise County, Arizona",2783
"Coconino County, Arizona",2670
"Maricopa County, Arizona",168720
"Mohave County, Arizona",2029
"Navajo County, Arizona",897
"Pima County, Arizona",28713
"Pinal County, Arizona",8568
"Yavapai County, Arizona",2368
"Yuma County, Arizona",2719
"Benton County, Arkansas",9343
"Craighead County, Arkansas",1394
"Faulkner County, Arkansas",1404
"Garland County, Arkansas",1046
"Jefferson County, Arkansas",291
"Lonoke County, Arkansas",1032
"Pulaski County, Arkansas",8604
"Saline County, Arkansas",1212
"Sebastian County, Arkansas",5547
"Washington County, Arkansas",5402
"White County, Arkansas",N
"Alameda County, California",483856
"Butte County, California",10665
"Contra Costa County, California",183849
"El Dorado County, California",8904
"Fresno County, California",101993
"Humboldt County, California",4212
"Imperial County, California",2731
"Kern County, California",40615
"Kings County, California",5238
"Lake County, California",343
"Los Angeles County, California",1474575
"Madera County, California",2748
"Marin County, California",13886
"Mendocino County, California",1125
"Merced County, California",21156
"Monterey County, California",24852
"Napa County, California",11301
"Nevada County, California",1742
"Orange County, California",637622
"Placer County, California",26369
"Riverside County, California",149105
"Sacramento County, California",230645
"San Bernardino County, California",152270
"San Diego County, California",389369
"San Francisco County, California",300409
"San Joaquin County, California",111547
"San Luis Obispo County, California",10989
"San Mateo County, California",214801
"Santa Barbara County, California",24802
"Santa Clara County, California",683532
"Santa Cruz County, California",13692
"Shasta County, California",6016
"Solano County, California",66560
"Sonoma County, California",21487
"Stanislaus County, California",30615
"Sutter County, California",14849
"Tulare County, California",20506
"Ventura County, California",60772
"Yolo County, California",30155
"Yuba County, California",3656
"Adams County, Colorado",19783
"Arapahoe County, Colorado",38563
"Boulder County, Colorado",15560
"Broomfield County, Colorado",3943
"Denver County, Colorado",25721
"Douglas County, Colorado",15524
"El Paso County, Colorado",18301
"Jefferson County, Colorado",17174
"Larimer County, Colorado",7489
"Mesa County, Colorado",1263
"Pueblo County, Colorado",1310
"Weld County, Colorado",4523
"Fairfield County, Connecticut",50381
"Hartford County, Connecticut",45365
"Litchfield County, Connecticut",4476
"Middlesex County, Connecticut",4893
"New Haven County, Connecticut",35579
"New London County, Connecticut",12084
"Tolland County, Connecticut",7366
"Windham County, Connecticut",1806
"Kent County, Delaware",3125
"New Castle County, Delaware",29993
"Sussex County, Delaware",2528
"District of Columbia, District of Columbia",26436
"Alachua County, Florida",16798
"Bay County, Florida",5077
"Brevard County, Florida",14164
"Broward County, Florida",69401
"Charlotte County, Florida",1660
"Citrus County, Florida",2496
"Clay County, Florida",5746
"Collier County, Florida",4794
"Columbia County, Florida",539
"Duval County, Florida",39936
"Escambia County, Florida",9687
"Flagler County, Florida",2830
"Hernando County, Florida",2262
"Highlands County, Florida",1361
"Hillsborough County, Florida",54822
"Indian River County, Florida",1978
"Lake County, Florida",6718
"Lee County, Florida",11131
"Leon County, Florida",10203
"Manatee County, Florida",7143
"Marion County, Florida",4308
"Martin County, Florida",1252
"Miami-Dade County, Florida",43745
"Monroe County, Florida",1156
"Nassau County, Florida",N
"Okaloosa County, Florida",5770
"Orange County, Florida",70844
"Osceola County, Florida",9588
"Palm Beach County, Florida",38391
"Pasco County, Florida",12829
"Pinellas County, Florida",33027
"Polk County, Florida",12565
"Putnam County, Florida",N
"St. Johns County, Florida",6363
"St. Lucie County, Florida",6005
"Santa Rosa County, Florida",3459
"Sarasota County, Florida",6544
"Seminole County, Florida",19098
"Sumter County, Florida",558
"Volusia County, Florida",9730
"Walton County, Florida",631
"Barrow County, Georgia",2902
"Bartow County, Georgia",890
"Bibb County, Georgia",3089
"Bulloch County, Georgia",852
"Carroll County, Georgia",1122
"Catoosa County, Georgia",N
"Chatham County, Georgia",6369
"Cherokee County, Georgia",5002
"Clarke County, Georgia",5209
"Clayton County, Georgia",14614
"Cobb County, Georgia",39953
"Columbia County, Georgia",6402
"Coweta County, Georgia",1696
"DeKalb County, Georgia",45634
"Dougherty County, Georgia",799
"Douglas County, Georgia",2242
"Fayette County, Georgia",4945
"Floyd County, Georgia",1623
"Forsyth County, Georgia",25847
"Fulton County, Georgia",68259
"Glynn County, Georgia",1114
"Gwinnett County, Georgia",103900
"Hall County, Georgia",3451
"Henry County, Georgia",7935
"Houston County, Georgia",4623
"Liberty County, Georgia",940
"Lowndes County, Georgia",418
"Muscogee County, Georgia",4160
"Newton County, Georgia",N
"Paulding County, Georgia",533
"Richmond County, Georgia",4084
"Rockdale County, Georgia",1798
"Troup County, Georgia",1423
"Walker County, Georgia",N
"Walton County, Georgia",1369
"Whitfield County, Georgia",1281
"Hawaii County, Hawaii",47415
"Honolulu County, Hawaii",421281
"Kauai County, Hawaii",24200
"Maui County, Hawaii",50531
"Ada County, Idaho",11778
"Bannock County, Idaho",1480
"Bonneville County, Idaho",1521
"Canyon County, Idaho",2978
"Kootenai County, Idaho",1352
"Twin Falls County, Idaho",1389
"Adams County, Illinois",N
"Champaign County, Illinois",21908
"Cook County, Illinois",371491
"DeKalb County, Illinois",2439
"DuPage County, Illinois",107270
"Kane County, Illinois",21320
"Kankakee County, Illinois",1023
"Kendall County, Illinois",3882
"Lake County, Illinois",52572
"LaSalle County, Illinois",647
"McHenry County, Illinois",8478
"McLean County, Illinois",8635
"Macon County, Illinois",1089
"Madison County, Illinois",3169
"Peoria County, Illinois",7607
"Rock Island County, Illinois",3486
"St. Clair County, Illinois",4473
"Sangamon County, Illinois",3568
